timestamp,_data_0,_data_1,_data_2,_data_3,_data_4,_data_5,_data_6
9000000,7.730350240165316e-18,0.0033040069974958897,0.000368573673767969,-1.0,6.365230560302734,368.6750183105469,0.14249946177005768
10000000,0.00021557501167990267,1.81916057044873e-05,5.910722029511817e-05,0.0,72.89305114746094,45.715919494628906,0.02470092847943306
11000000,0.0002580604632385075,2.1800688045914285e-05,6.478415161836892e-05,0.0,71.40126037597656,45.71369934082031,0.02470092847943306
12000000,0.00030053104273974895,2.5408491637790576e-05,7.046194514259696e-05,0.0,70.1707534790039,45.71397399902344,0.02470092847943306
13000000,0.00030053104273974895,2.5408491637790576e-05,7.046194514259696e-05,0.0,70.1707534790039,45.7142448425293,0.02470092847943306
14000000,0.0003750859177671373,3.174195808242075e-05,8.036813233047724e-05,0.0,68.44811248779297,45.61995315551758,0.024631347507238388
15000000,0.0003750859177671373,3.174195808242075e-05,8.036813233047724e-05,0.0,68.44811248779297,45.29258346557617,0.02452697791159153
16000000,0.00036762311356142163,3.110839315922931e-05,7.877088501118124e-05,0.0,68.44982147216797,45.293296813964844,0.02452697791159153
17000000,0.00036394683411344886,3.0796298233326524e-05,7.798402657499537e-05,0.0,68.45067596435547,45.29402542114258,0.02452697791159153
18000000,0.0003603073419071734,3.0487319236272015e-05,7.720503344899043e-05,0.0,68.45154571533203,45.29474639892578,0.02452697791159153
19000000,0.0003603073419071734,3.0487319236272015e-05,7.720503344899043e-05,0.0,68.45154571533203,45.29545974731445,0.02452697791159153
20000000,0.0003531371185090393,2.9878588975407183e-05,7.56703011575155e-05,0.0,68.45330047607422,45.29616928100586,0.02452697791159153
21000000,0.0003531371185090393,2.9878588975407183e-05,7.56703011575155e-05,0.0,68.45330047607422,45.29686737060547,0.02452697791159153
22000000,0.0003531371185090393,2.9878588975407183e-05,7.56703011575155e-05,0.0,68.45330047607422,45.29756164550781,0.02452697791159153
23000000,3.309826612472534,0.09351992607116699,-0.021292313933372498,0.7025764584541321,-12.826275825500488,450.4941711425781,0.10283935815095901
24000000,3.3176233768463135,0.10035187751054764,-0.020612645894289017,0.6815987229347229,-11.607321739196777,30.532413482666016,0.017186278477311134
25000000,3.325417995452881,0.10718155652284622,-0.01993333175778389,0.6607263088226318,-10.535348892211914,30.529706954956055,0.017203673720359802
26000000,3.3332111835479736,0.1140095591545105,-0.019254418089985847,0.6399565935134888,-9.585901260375977,30.531585693359375,0.01722106896340847
27000000,3.341002941131592,0.12083595991134644,-0.01857590116560459,0.6192887425422668,-8.73956298828125,30.533411026000977,0.017238464206457138
28000000,3.3487935066223145,0.1276608258485794,-0.017897771671414375,0.5987216830253601,-7.980727672576904,30.535181045532227,0.017255859449505806
29000000,3.3565826416015625,0.13448423147201538,-0.01722002774477005,0.5782545804977417,-7.296730995178223,30.53689956665039,0.017290649935603142
30000000,3.364370822906494,0.14130622148513794,-0.016542663797736168,0.5578864216804504,-6.6772003173828125,30.538562774658203,0.01730804517865181
31000000,3.372157573699951,0.14812690019607544,-0.015865670517086983,0.5376163721084595,-6.113565444946289,30.540172576904297,0.01732543855905533
32000000,3.379943370819092,0.15494629740715027,-0.015189044177532196,0.5174435377120972,-5.598691463470459,30.54172706604004,0.017360229045152664
33000000,3.387728214263916,0.1617644876241684,-0.01451277919113636,0.4973669648170471,-5.126593589782715,30.54322624206543,0.017377624288201332
34000000,3.3955118656158447,0.16858156025409698,-0.013836869969964027,0.4773857891559601,-4.692216396331787,30.5446720123291,0.01739501953125
35000000,3.403294801712036,0.17539756000041962,-0.013161311857402325,0.4574992060661316,-4.291263103485107,30.546062469482422,0.017429810017347336
