timestamp,_data_0,_data_1,_data_2,_data_3,_data_4,_data_5,_data_6
9000000,0.0002909887407440692,-0.0035636955872178078,-0.0007493017474189401,-1.0077570676803589,11.874032020568848,0.0,0.0
10000000,0.0001336097193416208,0.007752691395580769,-0.026242926716804504,-0.9983627796173096,-73.54179382324219,74.56949615478516,0.006836242508143187
11000000,0.003629339160397649,-5.541553349530659e-08,1.541112578706816e-05,1.0001606941223145,-89.79397583007812,0.0,0.006836242508143187
12000000,0.0033406575676053762,-0.004626151639968157,0.005021137651056051,-1.0686018466949463,-47.34453582763672,0.0,0.006836242508143187
13000000,0.003407206851989031,-0.008373412303626537,0.007036250550299883,-1.038656234741211,-40.040626525878906,0.0,0.006836242508143187
14000000,0.0033865212462842464,-0.011544543318450451,0.008944540284574032,-1.0278676748275757,-37.76799011230469,0.0,0.006836242508143187
15000000,0.003291346598416567,-0.014380428940057755,0.010880999267101288,-1.0217432975769043,-37.113094329833984,0.0,0.006836242508143187
16000000,0.0031460528261959553,-0.017053352668881416,0.012882041744887829,-1.0175259113311768,-37.06726837158203,0.0,0.006836242508143187
17000000,0.0029737520962953568,-0.01966875046491623,0.014909304678440094,-1.014363169670105,-37.1628532409668,0.0,0.006836242508143187
18000000,0.0027810533065348864,-0.022252168506383896,0.016961753368377686,-1.0118730068206787,-37.316524505615234,0.0,0.006836242508143187
24000000,3.3437767028808594,-0.0203663669526577,0.005577573552727699,1.064113974571228,-15.315613746643066,206.80831909179688,0.014994506724178791
25000000,3.3413641452789307,-0.020083429291844368,0.004414703231304884,1.0632688999176025,-12.397481918334961,82.06694793701172,0.007036285474896431
26000000,3.3404290676116943,-0.02069908194243908,0.0035196051467210054,1.065226674079895,-9.650093078613281,78.0201644897461,0.006749267689883709
27000000,3.3395392894744873,-0.02136107347905636,0.0026421486400067806,1.0673307180404663,-7.051095008850098,77.90332794189453,0.006740570068359375
28000000,3.33894681930542,-0.023193160071969032,0.0008291162084788084,1.0731184482574463,-2.0473554134368896,75.91389465332031,0.006601409986615181
29000000,3.3383750915527344,-0.025042302906513214,-0.0009644521051086485,1.0789614915847778,2.2055375576019287,75.8672866821289,0.006592712365090847
30000000,3.337803840637207,-0.0268861074000597,-0.002743091667070985,1.084789752960205,5.825521945953369,75.87547302246094,0.006592712365090847
31000000,3.3372318744659424,-0.028723139315843582,-0.004507196601480246,1.090598702430725,8.91805362701416,75.88713073730469,0.006592712365090847
32000000,3.3496923446655273,-0.02810811437666416,-0.0046163275837898254,1.0883289575576782,9.326693534851074,0.0,0.006592712365090847
33000000,3.3568081855773926,-0.026419999077916145,-0.004575881641358137,1.082848072052002,9.82601547241211,3.0371859073638916,0.00046042443136684597
34000000,3.3658764362335205,-0.026169242337346077,-0.004543267656117678,1.0818407535552979,9.849007606506348,29.33970069885254,0.003018035786226392
35000000,3.374946117401123,-0.02574051357805729,-0.004640915431082249,1.080283522605896,10.220409393310547,29.289480209350586,0.0030136872082948685
