timestamp,_header_stamp_sec,_header_stamp_nanosec,_header_frame_id,_contacts_0_collision1_id,_contacts_0_collision1_name,_contacts_0_collision1_type,_contacts_0_collision2_id,_contacts_0_collision2_name,_contacts_0_collision2_type,_contacts_0_positions_0_x,_contacts_0_positions_0_y,_contacts_0_positions_0_z,_contacts_0_normals_0_x,_contacts_0_normals_0_y,_contacts_0_normals_0_z,_contacts_0_depths_0,_contacts_0_wrenches_0_header_stamp_sec,_contacts_0_wrenches_0_header_stamp_nanosec,_contacts_0_wrenches_0_header_frame_id,_contacts_0_wrenches_0_body_1_name_data,_contacts_0_wrenches_0_body_1_id_data,_contacts_0_wrenches_0_body_2_name_data,_contacts_0_wrenches_0_body_2_id_data,_contacts_0_wrenches_0_body_1_wrench_force_x,_contacts_0_wrenches_0_body_1_wrench_force_y,_contacts_0_wrenches_0_body_1_wrench_force_z,_contacts_0_wrenches_0_body_1_wrench_torque_x,_contacts_0_wrenches_0_body_1_wrench_torque_y,_contacts_0_wrenches_0_body_1_wrench_torque_z,_contacts_0_wrenches_0_body_2_wrench_force_x,_contacts_0_wrenches_0_body_2_wrench_force_y,_contacts_0_wrenches_0_body_2_wrench_force_z,_contacts_0_wrenches_0_body_2_wrench_torque_x,_contacts_0_wrenches_0_body_2_wrench_torque_y,_contacts_0_wrenches_0_body_2_wrench_torque_z,_contacts_0_positions_1_x,_contacts_0_positions_1_y,_contacts_0_positions_1_z,_contacts_0_normals_1_x,_contacts_0_normals_1_y,_contacts_0_normals_1_z,_contacts_0_depths_1,_contacts_0_wrenches_1_header_stamp_sec,_contacts_0_wrenches_1_header_stamp_nanosec,_contacts_0_wrenches_1_header_frame_id,_contacts_0_wrenches_1_body_1_name_data,_contacts_0_wrenches_1_body_1_id_data,_contacts_0_wrenches_1_body_2_name_data,_contacts_0_wrenches_1_body_2_id_data,_contacts_0_wrenches_1_body_1_wrench_force_x,_contacts_0_wrenches_1_body_1_wrench_force_y,_contacts_0_wrenches_1_body_1_wrench_force_z,_contacts_0_wrenches_1_body_1_wrench_torque_x,_contacts_0_wrenches_1_body_1_wrench_torque_y,_contacts_0_wrenches_1_body_1_wrench_torque_z,_contacts_0_wrenches_1_body_2_wrench_force_x,_contacts_0_wrenches_1_body_2_wrench_force_y,_contacts_0_wrenches_1_body_2_wrench_force_z,_contacts_0_wrenches_1_body_2_wrench_torque_x,_contacts_0_wrenches_1_body_2_wrench_torque_y,_contacts_0_wrenches_1_body_2_wrench_torque_z,_contacts_0_positions_2_x,_contacts_0_positions_2_y,_contacts_0_positions_2_z,_contacts_0_normals_2_x,_contacts_0_normals_2_y,_contacts_0_normals_2_z,_contacts_0_depths_2,_contacts_0_wrenches_2_header_stamp_sec,_contacts_0_wrenches_2_header_stamp_nanosec,_contacts_0_wrenches_2_header_frame_id,_contacts_0_wrenches_2_body_1_name_data,_contacts_0_wrenches_2_body_1_id_data,_contacts_0_wrenches_2_body_2_name_data,_contacts_0_wrenches_2_body_2_id_data,_contacts_0_wrenches_2_body_1_wrench_force_x,_contacts_0_wrenches_2_body_1_wrench_force_y,_contacts_0_wrenches_2_body_1_wrench_force_z,_contacts_0_wrenches_2_body_1_wrench_torque_x,_contacts_0_wrenches_2_body_1_wrench_torque_y,_contacts_0_wrenches_2_body_1_wrench_torque_z,_contacts_0_wrenches_2_body_2_wrench_force_x,_contacts_0_wrenches_2_body_2_wrench_force_y,_contacts_0_wrenches_2_body_2_wrench_force_z,_contacts_0_wrenches_2_body_2_wrench_torque_x,_contacts_0_wrenches_2_body_2_wrench_torque_y,_contacts_0_wrenches_2_body_2_wrench_torque_z
15000000,0,15000000,,170,Archimede::Archimede_br_wheel_link::Archimede_br_wheel_link_fixed_joint_lump__collision_collision,0,7,terrain::link::collision,0,-5.36839716294335,11.840928937899493,345.97623422945435,-0.25074341585877963,0.35254487584533606,0.9015763139738464,2.7177118679527767e-06,0,0,,,0,,0,-35.84114871542235,-18.360120318109292,42.32688338676472,0.0,0.0,0.0,35.84114871542235,18.360120318109292,-42.32688338676472,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16000000,0,16000000,,170,Archimede::Archimede_br_wheel_link::Archimede_br_wheel_link_fixed_joint_lump__collision_collision,0,7,terrain::link::collision,0,-5.368397169762171,11.84092900633068,345.9762342007991,-0.25074341585877963,0.35254487584533606,0.9015763139738464,2.6906152422040423e-06,0,0,,,0,,0,-35.84115310047447,-18.36011800253307,42.3268822725703,0.0,0.0,0.0,35.84115310047447,18.36011800253307,-42.3268822725703,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18000000,0,17000000,,170,Archimede::Archimede_br_wheel_link::Archimede_br_wheel_link_fixed_joint_lump__collision_collision,0,7,terrain::link::collision,0,-5.368397227250771,11.840929175314335,345.97623411873263,-0.25074341585877963,0.35254487584533606,0.9015763139738464,2.663789432158503e-06,0,0,,,0,,0,-35.84115654841507,-18.360115550810313,42.32688123984048,0.0,0.0,0.0,35.84115654841507,18.360115550810313,-42.32688123984048,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18000000,0,18000000,,170,Archimede::Archimede_br_wheel_link::Archimede_br_wheel_link_fixed_joint_lump__collision_collision,0,7,terrain::link::collision,0,-5.368397335407131,11.840929444851938,345.9762339832548,-0.25074341585877963,0.35254487584533606,0.9015763139738464,2.637231582239274e-06,0,0,,,0,,0,-35.841159060589916,-18.360112962557558,42.32688028886227,0.0,0.0,0.0,35.841159060589916,18.360112962557558,-42.32688028886227,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19000000,0,19000000,,170,Archimede::Archimede_br_wheel_link::Archimede_br_wheel_link_fixed_joint_lump__collision_collision,0,7,terrain::link::collision,0,-5.368397494229247,11.840929814944952,345.9762337943657,-0.25074341585877963,0.35254487584533606,0.9015763139738464,2.6109387740169683e-06,0,0,,,0,,0,-35.841160633242076,-18.360110237149282,42.326879416451774,0.0,0.0,0.0,35.841160633242076,18.360110237149282,-42.326879416451774,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000000,0,20000000,,170,Archimede::Archimede_br_wheel_link::Archimede_br_wheel_link_fixed_joint_lump__collision_collision,0,7,terrain::link::collision,0,-5.368397703715183,11.8409302855949,345.97623355206514,-0.25074341585877963,0.35254487584533606,0.9015763139738464,2.584908231767491e-06,0,0,,,0,,0,-35.841161272192444,-18.36010737433846,42.32687862577023,0.0,0.0,0.0,35.841161272192444,18.36010737433846,-42.32687862577023,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21000000,0,21000000,,170,Archimede::Archimede_br_wheel_link::Archimede_br_wheel_link_fixed_joint_lump__collision_collision,0,7,terrain::link::collision,0,-5.368397963863041,11.84093085680334,345.97623325635305,-0.25074341585877963,0.35254487584533606,0.9015763139738464,2.5591372220523656e-06,0,0,,,0,,0,-35.84116098058844,-18.360104374198727,42.326877919009505,0.0,0.0,0.0,35.84116098058844,18.360104374198727,-42.326877919009505,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23000000,0,22000000,,170,Archimede::Archimede_br_wheel_link::Archimede_br_wheel_link_fixed_joint_lump__collision_collision,0,7,terrain::link::collision,0,-5.368398274670967,11.840931528571842,345.9762329072295,-0.25074341585877963,0.35254487584533606,0.9015763139738464,2.5336230467243315e-06,0,0,,,0,,0,-1063.1305439694315,361.57651731813905,380.01296308427123,0.0,0.0,0.0,1063.1305439694315,-361.57651731813905,-380.01296308427123,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24000000,0,23000000,,170,Archimede::Archimede_br_wheel_link::Archimede_br_wheel_link_fixed_joint_lump__collision_collision,0,7,terrain::link::collision,0,-5.368511569157417,11.840966408753722,345.9761877588873,-0.25074341585877963,0.35254487584533606,0.9015763139738464,2.505210732223206e-06,0,0,,,0,,0,-74.56396429190687,25.36092215816232,26.656654153624157,0.0,0.0,0.0,74.56396429190687,-25.36092215816232,-26.656654153624157,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24000000,0,24000000,,170,Archimede::Archimede_br_wheel_link::Archimede_br_wheel_link_fixed_joint_lump__collision_collision,0,7,terrain::link::collision,0,-5.3686344503687184,11.84100664533246,345.97613784979626,-0.25074341585877963,0.35254487584533606,0.9015763139738464,2.475638285301396e-06,0,0,,,0,,0,-74.55632506211549,25.359589197925846,26.657767140370694,0.0,0.0,0.0,74.55632506211549,-25.359589197925846,-26.657767140370694,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25000000,0,25000000,,170,Archimede::Archimede_br_wheel_link::Archimede_br_wheel_link_fixed_joint_lump__collision_collision,0,7,terrain::link::collision,0,-5.368766916366371,11.84105223846325,345.97608318043484,-0.25074341585877963,0.35254487584533606,0.9015763139738464,2.446266230082817e-06,0,0,,,0,,0,-74.56015506781196,25.36211301524588,26.662846185565094,0.0,0.0,0.0,74.56015506781196,-25.36211301524588,-26.662846185565094,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
