timestamp,_data_0,_data_1,_data_2,_data_3,_data_4,_data_5,_data_6,_data_7,_data_8,_data_9,_data_10,_data_11
9000000,-125.53973388671875,152.45315551757812,357.8721923828125,14.483049392700195,-16.945087432861328,10.48810863494873,6.31728458404541,205.7512664794922,353.1305847167969,-1.9892983436584473,-21.956510543823242,10.993155479431152
10000000,-3.4435102939605713,5.174046993255615,7.2323760986328125,0.4915344715118408,0.1883227378129959,0.09534776955842972,-1.4354549646377563,-5.913005352020264,7.342453956604004,-0.48456117510795593,0.21424570679664612,0.07390551269054413
11000000,-14.751609802246094,-35.066593170166016,45.67584991455078,-3.331326484680176,-0.2588505744934082,-1.1994564533233643,-36.65468978881836,-13.378061294555664,44.84440231323242,-2.5071523189544678,2.1277897357940674,-1.3379584550857544
12000000,-4.966490268707275,-30.447118759155273,49.185791015625,-2.8924763202667236,-1.2698915004730225,-1.0487759113311768,-26.574569702148438,-16.886314392089844,48.78093719482422,-2.911987781524658,1.1046030521392822,-1.1743733882904053
13000000,-0.6009869575500488,-23.667577743530273,46.29137420654297,-2.248420000076294,-1.5133028030395508,-0.7927987575531006,-18.610074996948242,-15.212257385253906,46.1048698425293,-2.6345326900482178,0.48532724380493164,-0.8931418061256409
14000000,0.673700213432312,-21.293794631958008,46.23955154418945,-2.0229103565216064,-1.6206352710723877,-0.7111794352531433,-16.033580780029297,-14.422868728637695,46.11811828613281,-2.5526695251464844,0.2526129186153412,-0.8027867078781128
15000000,1.4318809509277344,-19.878625869750977,46.268680572509766,-1.8884694576263428,-1.6866596937179565,-0.6629307270050049,-14.501008987426758,-13.949334144592285,46.18590545654297,-2.5052857398986816,0.11245669424533844,-0.7493410110473633
16000000,1.9935005903244019,-18.916404724121094,46.35159683227539,-1.7970584630966187,-1.7380342483520508,-0.6303728222846985,-13.428565979003906,-13.658004760742188,46.29694747924805,-2.477623701095581,0.012589124962687492,-0.7132837176322937
17000000,2.459524393081665,-18.135644912719727,46.303680419921875,-1.7228862047195435,-1.7753198146820068,-0.6034547090530396,-12.547455787658691,-13.431693077087402,46.27237319946289,-2.452104330062866,-0.06526735424995422,-0.6835051774978638
18000000,2.8500728607177734,-17.528974533081055,46.33737564086914,-1.665252685546875,-1.8097957372665405,-0.5828326344490051,-11.84523868560791,-13.273881912231445,46.325313568115234,-2.436145305633545,-0.12963640689849854,-0.6606898307800293
19000000,3.1858580112457275,-17.012149810791016,46.35340881347656,-1.6161541938781738,-1.8388280868530273,-0.5652254223823547,-11.244647979736328,-13.141818046569824,46.35786819458008,-2.4223215579986572,-0.18419098854064941,-0.6412137150764465
20000000,-47.48371505737305,21.10523223876953,46.34836196899414,2.0049970149993896,2.5038068294525146,0.7678574919700623,17.309207916259766,-47.20561218261719,48.169761657714844,-3.2103776931762695,-0.3488439917564392,0.6711546778678894
21000000,4.241711139678955,-11.190744400024414,33.635074615478516,-1.063120722770691,-1.392174482345581,-0.3330547511577606,-5.97935152053833,-10.073060035705566,33.7242317199707,-1.7232272624969482,-0.24963760375976562,-0.3840176463127136
22000000,6.034252166748047,-9.149935722351074,38.645137786865234,-0.8692439198493958,-1.7494615316390991,-0.28376173973083496,-3.437453508377075,-9.756044387817383,38.814735412597656,-1.8388009071350098,-0.638420045375824,-0.3285616338253021
23000000,6.034252166748047,-9.149935722351074,38.645137786865234,-0.8692439198493958,-1.7494615316390991,-0.28376173973083496,-3.438145160675049,-9.755906105041504,38.8147087097168,-1.838841438293457,-0.6383010149002075,-0.3285660147666931
24000000,6.034252166748047,-9.149935722351074,38.645137786865234,-0.8692439198493958,-1.7494615316390991,-0.28376173973083496,-3.438145160675049,-9.755906105041504,38.8147087097168,-1.838841438293457,-0.6383010149002075,-0.3285660147666931
25000000,6.034252166748047,-9.149935722351074,38.645137786865234,-0.8692439198493958,-1.7494615316390991,-0.28376173973083496,-3.438145160675049,-9.755906105041504,38.8147087097168,-1.838841438293457,-0.6383010149002075,-0.3285660147666931
26000000,6.034252166748047,-9.149935722351074,38.645137786865234,-0.8692439198493958,-1.7494615316390991,-0.28376173973083496,-3.438145160675049,-9.755906105041504,38.8147087097168,-1.838841438293457,-0.6383010149002075,-0.3285660147666931
73000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74000000,9.3646879196167,1.6517226696014404,48.508934020996094,0.1569136530160904,-2.4545748233795166,0.05430005490779877,5.822732448577881,-4.560744285583496,48.875736236572266,-1.6234138011932373,-1.8483924865722656,0.02193043939769268
75000000,8.762887954711914,1.4690481424331665,43.44058609008789,0.1395595818758011,-2.1836318969726562,0.04660354554653168,5.4733781814575195,-4.357545852661133,43.78452682495117,-1.4442588090896606,-1.6442919969558716,0.017802327871322632
76000000,8.266265869140625,1.3271980285644531,39.6888313293457,0.12608382105827332,-1.9836053848266602,0.040893569588661194,5.173874378204346,-4.175778865814209,40.01362228393555,-1.3124699592590332,-1.493139624595642,0.014698920771479607
77000000,8.043567657470703,1.2770497798919678,38.24553298950195,0.1213197335600853,-1.9050846099853516,0.03888333588838577,5.039248943328857,-4.0805840492248535,38.56170654296875,-1.2604141235351562,-1.4341357946395874,0.013731197454035282
78000000,8.233807563781738,1.337256908416748,39.828556060791016,0.12703940272331238,-1.9865570068359375,0.04125725477933884,5.151846885681152,-4.143923759460449,40.15201187133789,-1.31404709815979,-1.4957618713378906,0.015046435408294201
79000000,8.212713241577148,1.3401706218719482,39.820499420166016,0.1273162066936493,-1.9843946695327759,0.04134715348482132,5.139062404632568,-4.127466678619385,40.143131256103516,-1.3124058246612549,-1.494356632232666,0.015177593566477299
80000000,8.191557884216309,1.3430408239364624,39.81242752075195,0.1275888830423355,-1.9822263717651367,0.04143570363521576,5.126206398010254,-4.110995292663574,40.13423156738281,-1.3107627630233765,-1.492944598197937,0.015307353809475899
81000000,8.170341491699219,1.345867395401001,39.80434036254883,0.12785740196704865,-1.9800519943237305,0.04152291268110275,5.113279819488525,-4.094509601593018,40.12531280517578,-1.3091180324554443,-1.4915258884429932,0.015435716137290001
82000000,8.155938148498535,1.3505680561065674,39.849609375,0.12830397486686707,-1.9806727170944214,0.04168601706624031,5.104332447052002,-4.080538749694824,40.17000961303711,-1.3093233108520508,-1.4922107458114624,0.015603052452206612
83000000,8.134572982788086,1.3532915115356445,39.84148025512695,0.12856268882751465,-1.9784835577011108,0.041770078241825104,5.0912346839904785,-4.0640177726745605,40.161041259765625,-1.3076741695404053,-1.4907753467559814,0.015728136524558067
84000000,8.11998462677002,1.3578990697860718,39.8867073059082,0.12900041043758392,-1.979087233543396,0.041930463165044785,5.082097053527832,-4.049979209899902,40.2056884765625,-1.307873249053955,-1.4914424419403076,0.01589268073439598
85000000,8.09847354888916,1.3605190515518188,39.8785285949707,0.12924930453300476,-1.9768834114074707,0.04201136529445648,5.068829536437988,-4.0334248542785645,40.1966667175293,-1.3062199354171753,-1.4899903535842896,0.016014475375413895
86000000,8.076904296875,1.363095760345459,39.87034225463867,0.1294940859079361,-1.974673867225647,0.04209093004465103,5.055493354797363,-4.016857147216797,40.187625885009766,-1.304565191268921,-1.4885318279266357,0.016134874895215034
87000000,8.055276870727539,1.3656290769577026,39.86213684082031,0.12973475456237793,-1.9724587202072144,0.04216915741562843,5.042088508605957,-4.000277042388916,40.17856979370117,-1.3029087781906128,-1.487066626548767,0.0162538792937994
88000000,8.03359317779541,1.3681191205978394,39.853919982910156,0.12997131049633026,-1.9702379703521729,0.04224604740738869,5.028615474700928,-3.983685255050659,40.169498443603516,-1.30125093460083,-1.4855951070785522,0.016371486708521843
89000000,8.01185131072998,1.3705658912658691,39.84568786621094,0.1302037537097931,-1.9680116176605225,0.04232160001993179,5.015074729919434,-3.9670817852020264,40.16040802001953,-1.2995916604995728,-1.484117031097412,0.01648770272731781
90000000,7.996786117553711,1.3749234676361084,39.890777587890625,0.13061772286891937,-1.9685688018798828,0.042474549263715744,5.0054426193237305,-3.952873706817627,40.204891204833984,-1.29977285861969,-1.4847362041473389,0.016644660383462906
91000000,7.974904537200928,1.3772666454315186,39.882503509521484,0.13084033131599426,-1.966328501701355,0.04254693537950516,4.991735935211182,-3.9362404346466064,40.19575500488281,-1.298109769821167,-1.4832420349121094,0.01675756275653839
92000000,7.95966100692749,1.381529688835144,39.92755126953125,0.13124531507492065,-1.9668694734573364,0.04269710183143616,4.981916904449463,-3.9219703674316406,40.24019241333008,-1.2982853651046753,-1.4838440418243408,0.01691165193915367
93000000,7.937641143798828,1.383769154548645,39.91923904418945,0.1314580738544464,-1.9646152257919312,0.04276631399989128,4.968045711517334,-3.905308961868286,40.23100280761719,-1.2966187000274658,-1.482333779335022,0.017021235078573227
94000000,7.915557861328125,1.3859771490097046,39.910911560058594,0.1316678375005722,-1.9623548984527588,0.042834553867578506,4.954111099243164,-3.8886232376098633,40.221797943115234,-1.2949494123458862,-1.4808175563812256,0.017129840329289436
